,departure_airport_int,arriving_airport_int,departure_time_float,airline_int,date_year,date_month,date_day,date_dow,duration_hours,numStops,price_min_day,price_min,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60
0,0,299,9.6,2,23,6,9,4,2,0,45,187,265,265,393,393,265,265,329,329,393,359,359,393,393,527,359,393.0,359.0,266.0,359.0,359.0,359.0,266.0,266.0,266.0,266.0,266.0,266.0,213.0,213.0,266.0,266.0,213.0,213.0,213.0,266.0,213.0,213.0,208.0,208.0,208.0,208.0,261.0,261.0,208.0,208.0,187.0,208.0,208.0,261.0,208.0,187.0,187.0,187.0,,,,,,,,
1,0,298,10.683,5,23,6,9,4,4,1,0,275,275,275,325,369,325,325,409,411,414,484,479,479,479,469,499,639.0,669.0,669.0,669.0,669.0,669.0,669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,113,18.167,14,23,6,9,4,2,0,13,162,250,250,250,250,250,250,236,236,236,236,236,236,236,162,162,162.0,162.0,162.0,162.0,212.0,193.0,233.0,233.0,232.0,232.0,230.0,230.0,232.0,232.0,232.0,232.0,259.0,259.0,259.0,275.0,270.0,270.0,265.0,289.0,275.0,275.0,289.0,275.0,359.0,359.0,359.0,359.0,359.0,211.0,211.0,359.0,359.0,359.0,359.0,359.0,,,,,,
3,0,113,7.767,14,23,6,9,4,2,0,1,250,289,250,250,272,359,359,359,359,359,273,273,359,273,273,289,289.0,289.0,274.0,273.0,273.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,274.0,274.0,359.0,359.0,359.0,364.0,364.0,364.0,364.0,405.0,416.0,426.0,398.0,403.0,436.0,436.0,436.0,437.0,437.0,437.0,437.0,437.0,437.0,437.0,436.0,436.0,436.0,436.0,436.0,435.0,435.0,435.0,434.0,434.0
4,0,90,9.517,5,23,6,9,4,1,0,37,204,419,419,419,419,419,419,349,349,354,354,349,349,349,239,264,264.0,264.0,264.0,264.0,264.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,214.0,214.0,214.0,214.0,214.0,214.0,209.0,209.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
5,0,90,10.683,5,23,6,9,4,1,0,37,204,419,419,419,419,419,419,349,349,349,354,349,349,349,239,264,264.0,264.0,264.0,264.0,264.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,214.0,214.0,214.0,214.0,214.0,214.0,209.0,209.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
6,0,90,13.0,5,23,6,9,4,1,0,37,204,419,419,419,419,419,419,349,349,349,354,349,349,349,239,264,264.0,264.0,264.0,264.0,264.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,214.0,214.0,214.0,214.0,214.0,214.0,209.0,209.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
7,0,60,8.2,14,23,6,9,4,3,0,21,294,368,368,368,368,368,368,334,383,334,334,334,334,334,371,382,363.0,327.0,327.0,327.0,309.0,320.0,294.0,294.0,294.0,309.0,326.0,326.0,326.0,326.0,326.0,326.0,316.0,326.0,326.0,370.0,372.0,419.0,,,,,,,,,,,,,,,,,,,,,,,,
8,0,60,15.8,14,23,6,9,4,3,0,13,193,368,368,368,368,368,368,334,334,334,334,334,334,334,193,193,193.0,193.0,211.0,193.0,193.0,211.0,212.0,228.0,228.0,228.0,229.0,229.0,248.0,253.0,326.0,326.0,316.0,326.0,326.0,326.0,326.0,326.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,316.0,361.0,361.0,361.0,361.0
9,0,60,15.183,5,23,6,9,4,5,1,0,378,378,378,378,378,378,378,378,378,421,383,539,539,539,529,539,449.0,416.0,416.0,416.0,416.0,416.0,409.0,416.0,489.0,489.0,669.0,669.0,669.0,669.0,809.0,809.0,809.0,809.0,809.0,809.0,819.0,749.0,739.0,559.0,559.0,739.0,739.0,739.0,,,,,,,,,,,,,,,,,,
